Content,Label,Cleantext,Case_Folding,Tokenization,Stopword_Removal,Stemming
"Aplikasi yang sangat membantu karena respon cepat sekali, semoga terus memberikan yang terbaik ðŸ‘",Positif,Aplikasi yang sangat membantu karena respon cepat sekali semoga terus memberikan yang terbaik,aplikasi yang sangat membantu karena respon cepat sekali semoga terus memberikan yang terbaik,"['aplikasi', 'yang', 'sangat', 'membantu', 'karena', 'respon', 'cepat', 'sekali', 'semoga', 'terus', 'memberikan', 'yang', 'terbaik']",aplikasi membantu respon cepat semoga terbaik,aplikasi bantu respon cepat moga baik
apknya bagus.ðŸ‘,Positif,apknya bagus,apknya bagus,"['apknya', 'bagus']",apknya bagus,apknya bagus
Aplikasi yang sangat membantu â¤ï¸ Terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan,Positif,Aplikasi yang sangat membantu Terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan,aplikasi yang sangat membantu terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan,"['aplikasi', 'yang', 'sangat', 'membantu', 'terimakasih', 'banyak', 'karena', 'telah', 'memberikan', 'banyak', 'informasi', 'seputar', 'kesehatan']",aplikasi membantu terimakasih informasi seputar kesehatan,aplikasi bantu terimakasih informasi putar sehat
"Aplikasi keren..sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan,atau tanya2 juga boleh dong..,",Positif,Aplikasi keren sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan atau tanya juga boleh dong,aplikasi keren sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan atau tanya juga boleh dong,"['aplikasi', 'keren', 'sebelum', 'ke', 'rumah', 'sakit', 'bisa', 'konsultasi', 'dulu', 'sama', 'dokter', 'online', 'jika', 'ada', 'keluhan', 'soal', 'kesehatan', 'atau', 'tanya', 'juga', 'boleh', 'dong']",aplikasi keren rumah sakit konsultasi dokter online keluhan kesehatan,aplikasi keren rumah sakit konsultasi dokter online keluh sehat
Cara chat dokter nya seperti apa ya saya kurang paham,Positif,Cara chat dokter nya seperti apa ya saya kurang paham,cara chat dokter nya seperti apa ya saya kurang paham,"['cara', 'chat', 'dokter', 'nya', 'seperti', 'apa', 'ya', 'saya', 'kurang', 'paham']",chat dokter nya ya paham,chat dokter nya ya paham
bagus sangat membantu,Positif,bagus sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']",bagus membantu,bagus bantu
Coba kasih option lain utk kerjasama apoteknya slain k24 biar lebih variatif,Positif,Coba kasih option lain utk kerjasama apoteknya slain k biar lebih variatif,coba kasih option lain utk kerjasama apoteknya slain k biar lebih variatif,"['coba', 'kasih', 'option', 'lain', 'utk', 'kerjasama', 'apoteknya', 'slain', 'k', 'biar', 'lebih', 'variatif']",coba kasih option utk kerjasama apoteknya slain k biar variatif,coba kasih option utk kerjasama apotek slain k biar variatif
Yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit,Positif,Yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit,yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit,"['yesdok', 'berguna', 'banget', 'apalagi', 'untuk', 'masyarakat', 'yang', 'tidak', 'bisa', 'menjangkau', 'rumah', 'sakit']",yesdok berguna banget masyarakat menjangkau rumah sakit,yesdok guna banget masyarakat jangkau rumah sakit
"Saya pengguna lama, dan sudah beberapa kali konsultasi di Yesdok. Kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter. Dan tiap ulang tahun selalu dapat konsultasi gratis â¤ï¸ thank you.",Positif,Saya pengguna lama dan sudah beberapa kali konsultasi di Yesdok Kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter Dan tiap ulang tahun selalu dapat konsultasi gratis thank you,saya pengguna lama dan sudah beberapa kali konsultasi di yesdok kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter dan tiap ulang tahun selalu dapat konsultasi gratis thank you,"['saya', 'pengguna', 'lama', 'dan', 'sudah', 'beberapa', 'kali', 'konsultasi', 'di', 'yesdok', 'kenapa', 'milih', 'yesdok', 'karena', 'udah', 'lebih', 'dulu', 'menerapkan', 'video', 'call', 'dengan', 'dokter', 'dan', 'tiap', 'ulang', 'tahun', 'selalu', 'dapat', 'konsultasi', 'gratis', 'thank', 'you']",pengguna kali konsultasi yesdok milih yesdok udah menerapkan video call dokter ulang konsultasi gratis thank you,guna kali konsultasi yesdok milih yesdok udah terap video call dokter ulang konsultasi gratis thank you
"Wah bagus banget aplikasi ini,dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah.yesdok memang OKEðŸ‘",Positif,Wah bagus banget aplikasi ini dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah yesdok memang OKE,wah bagus banget aplikasi ini dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah yesdok memang oke,"['wah', 'bagus', 'banget', 'aplikasi', 'ini', 'dengan', 'adanya', 'aplikasi', 'yesdok', 'ini', 'kita', 'bisa', 'konsultasi', 'dengan', 'dokter', 'tanpa', 'harus', 'keluar', 'rumah', 'yesdok', 'memang', 'oke']",bagus banget aplikasi aplikasi yesdok konsultasi dokter rumah yesdok oke,bagus banget aplikasi aplikasi yesdok konsultasi dokter rumah yesdok oke
Bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya ðŸ˜ good pokoknya,Positif,Bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya good pokoknya,bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya good pokoknya,"['bagus', 'banget', 'aplikasi', 'ini', 'buat', 'saya', 'bisa', 'tanya', 'tentang', 'keluhan', 'saya', 'good', 'pokoknya']",bagus banget aplikasi keluhan good pokoknya,bagus banget aplikasi keluh good pokok
"Aplikasi yang sangat membantu, Banyak Informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan. Terimakasih YesDok",Positif,Aplikasi yang sangat membantu Banyak Informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan Terimakasih YesDok,aplikasi yang sangat membantu banyak informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan terimakasih yesdok,"['aplikasi', 'yang', 'sangat', 'membantu', 'banyak', 'informasi', 'yang', 'mudah', 'didapatkan', 'dan', 'sangat', 'bermanfaat', 'mengenai', 'kesehatan', 'terimakasih', 'yesdok']",aplikasi membantu informasi mudah didapatkan bermanfaat kesehatan terimakasih yesdok,aplikasi bantu informasi mudah dapat manfaat sehat terimakasih yesdok
"Saya terbantu sekali dengan adanya aplikasi ini, karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan, karena ada artikel dan berita ttg kesehatan, terima kasih yesdok",Positif,Saya terbantu sekali dengan adanya aplikasi ini karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan karena ada artikel dan berita ttg kesehatan terima kasih yesdok,saya terbantu sekali dengan adanya aplikasi ini karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan karena ada artikel dan berita ttg kesehatan terima kasih yesdok,"['saya', 'terbantu', 'sekali', 'dengan', 'adanya', 'aplikasi', 'ini', 'karena', 'bisa', 'konsultasi', 'langsung', 'dengan', 'dokter', 'dan', 'juga', 'menambah', 'wawasan', 'ilmu', 'ttg', 'kesehatan', 'karena', 'ada', 'artikel', 'dan', 'berita', 'ttg', 'kesehatan', 'terima', 'kasih', 'yesdok']",terbantu aplikasi konsultasi langsung dokter menambah wawasan ilmu ttg kesehatan artikel berita ttg kesehatan terima kasih yesdok,bantu aplikasi konsultasi langsung dokter tambah wawas ilmu ttg sehat artikel berita ttg sehat terima kasih yesdok
mantap dokternya baik semua,Positif,mantap dokternya baik semua,mantap dokternya baik semua,"['mantap', 'dokternya', 'baik', 'semua']",mantap dokternya,mantap dokter
Keren sekali aplikasi ini.. Apalagi pada saat live dengan dr. Ika ayu masalah anti aging .. jadi pengen bertanya langsung dengan dr. Ika ayu di aplikasi yes dok .. sangat bermanfaat,Positif,Keren sekali aplikasi ini Apalagi pada saat live dengan dr Ika ayu masalah anti aging jadi pengen bertanya langsung dengan dr Ika ayu di aplikasi yes dok sangat bermanfaat,keren sekali aplikasi ini apalagi pada saat live dengan dr ika ayu masalah anti aging jadi pengen bertanya langsung dengan dr ika ayu di aplikasi yes dok sangat bermanfaat,"['keren', 'sekali', 'aplikasi', 'ini', 'apalagi', 'pada', 'saat', 'live', 'dengan', 'dr', 'ika', 'ayu', 'masalah', 'anti', 'aging', 'jadi', 'pengen', 'bertanya', 'langsung', 'dengan', 'dr', 'ika', 'ayu', 'di', 'aplikasi', 'yes', 'dok', 'sangat', 'bermanfaat']",keren aplikasi live dr ika ayu anti aging pengen langsung dr ika ayu aplikasi yes dok bermanfaat,keren aplikasi live dr ika ayu anti aging ken langsung dr ika ayu aplikasi yes dok manfaat
ðŸ‘ðŸ»,Positif,,,[''],,
Bgs mudah cara msk nya ga ribet,Positif,Bgs mudah cara msk nya ga ribet,bgs mudah cara msk nya ga ribet,"['bgs', 'mudah', 'cara', 'msk', 'nya', 'ga', 'ribet']",bgs mudah msk nya ga ribet,bgs mudah msk nya ga ribet
Masya Allah tabarakallah ðŸ¥ºâ¤ï¸â¤ï¸ Bismillah semoga apk yesdok ini memberi kemanfaatan aamiin ðŸ¤²â¤ï¸ðŸ•Šï¸,Positif,Masya Allah tabarakallah Bismillah semoga apk yesdok ini memberi kemanfaatan aamiin,masya allah tabarakallah bismillah semoga apk yesdok ini memberi kemanfaatan aamiin,"['masya', 'allah', 'tabarakallah', 'bismillah', 'semoga', 'apk', 'yesdok', 'ini', 'memberi', 'kemanfaatan', 'aamiin']",masya allah tabarakallah bismillah semoga apk yesdok kemanfaatan aamiin,masya allah tabarakallah bismillah moga apk yesdok manfaat aamiin
"aplikasinya sangat membantu sekali. Banyak sekali informasi mengenai kesehatan. Terimakasih yesdok, sukses terus",Positif,aplikasinya sangat membantu sekali Banyak sekali informasi mengenai kesehatan Terimakasih yesdok sukses terus,aplikasinya sangat membantu sekali banyak sekali informasi mengenai kesehatan terimakasih yesdok sukses terus,"['aplikasinya', 'sangat', 'membantu', 'sekali', 'banyak', 'sekali', 'informasi', 'mengenai', 'kesehatan', 'terimakasih', 'yesdok', 'sukses', 'terus']",aplikasinya membantu informasi kesehatan terimakasih yesdok sukses,aplikasi bantu informasi sehat terimakasih yesdok sukses
"Aplikasinya ringan tapi,manfaatnya besar. Solusi konsul live tanya dokter terbaikðŸ‘ðŸ‘",Positif,Aplikasinya ringan tapi manfaatnya besar Solusi konsul live tanya dokter terbaik,aplikasinya ringan tapi manfaatnya besar solusi konsul live tanya dokter terbaik,"['aplikasinya', 'ringan', 'tapi', 'manfaatnya', 'besar', 'solusi', 'konsul', 'live', 'tanya', 'dokter', 'terbaik']",aplikasinya ringan manfaatnya solusi konsul live dokter terbaik,aplikasi ringan manfaat solusi konsul live dokter baik
bagus,Positif,bagus,bagus,['bagus'],bagus,bagus
sangat membantu,Positif,sangat membantu,sangat membantu,"['sangat', 'membantu']",membantu,bantu
Appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak,Positif,Appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak,appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak,"['appikasi', 'yang', 'sangat', 'bermanfaat', 'dan', 'sangat', 'berguna', 'bagi', 'masyarakat', 'banyak']",appikasi bermanfaat berguna masyarakat,appikasi manfaat guna masyarakat
Wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat. ðŸ¥° Banyak informasi jg yang didapat ttg kesehatan. Terbaikkkk YESDOKâ¤ï¸,Positif,Wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat Banyak informasi jg yang didapat ttg kesehatan Terbaikkkk YESDOK,wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat banyak informasi jg yang didapat ttg kesehatan terbaikkkk yesdok,"['wahhh', 'bagus', 'banget', 'dan', 'sangat', 'membantu', 'karna', 'aplikasinya', 'sangat', 'tanggap', 'cepat', 'dan', 'akurat', 'banyak', 'informasi', 'jg', 'yang', 'didapat', 'ttg', 'kesehatan', 'terbaikkkk', 'yesdok']",wahhh bagus banget membantu karna aplikasinya tanggap cepat akurat informasi jg ttg kesehatan terbaikkkk yesdok,wahhh bagus banget bantu karna aplikasi tanggap cepat akurat informasi jg ttg sehat terbaikkkk yesdok
Wah seru banget sih live yang diadain yesdok Semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan. Terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu ðŸ¥°,Positif,Wah seru banget sih live yang diadain yesdok Semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan Terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu,wah seru banget sih live yang diadain yesdok semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu,"['wah', 'seru', 'banget', 'sih', 'live', 'yang', 'diadain', 'yesdok', 'semuanya', 'bermanfaat', 'dan', 'relate', 'banget', 'untuk', 'aku', 'wanita', 'yang', 'butuh', 'banyak', 'edukasi', 'masalah', 'kewanitaan', 'terus', 'maju', 'dan', 'sukses', 'selalu', 'semoga', 'selalu', 'memberikan', 'sharing', 'dan', 'pengetahuan', 'yang', 'bermanfaat', 'untuk', 'kami', 'para', 'followers', 'mu']",seru banget sih live diadain yesdok bermanfaat relate banget wanita butuh edukasi kewanitaan maju sukses semoga sharing pengetahuan bermanfaat followers mu,seru banget sih live diadain yesdok manfaat relate banget wanita butuh edukasi wanita maju sukses moga sharing tahu manfaat followers mu
Terimakasih,Positif,Terimakasih,terimakasih,['terimakasih'],terimakasih,terimakasih
"Nunggunya lama, akhirnya gagal konsultasi karena telat ngangkat telvon",Negatif,Nunggunya lama akhirnya gagal konsultasi karena telat ngangkat telvon,nunggunya lama akhirnya gagal konsultasi karena telat ngangkat telvon,"['nunggunya', 'lama', 'akhirnya', 'gagal', 'konsultasi', 'karena', 'telat', 'ngangkat', 'telvon']",nunggunya gagal konsultasi telat ngangkat telvon,nunggunya gagal konsultasi telat ngangkat telvon
Mantap,Positif,Mantap,mantap,['mantap'],mantap,mantap
Mempermudah dalam hal kesehatan,Positif,Mempermudah dalam hal kesehatan,mempermudah dalam hal kesehatan,"['mempermudah', 'dalam', 'hal', 'kesehatan']",mempermudah kesehatan,mudah sehat
Aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman ðŸ˜˜ðŸ˜˜,Positif,Aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman,aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman,"['aplikasi', 'yang', 'sangat', 'bermanfaat', 'sekalii', 'respon', 'cepat', 'sekali', 'pokoknya', 'bikin', 'nyaman']",aplikasi bermanfaat sekalii respon cepat pokoknya bikin nyaman,aplikasi manfaat sekali respon cepat pokok bikin nyaman
Aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi. Thank you Yesdok !,Positif,Aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi Thank you Yesdok,aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi thank you yesdok,"['aplikasi', 'yang', 'luar', 'biasa', 'sangat', 'membantu', 'untuk', 'konsultasi', 'terkait', 'masalah', 'kesehatan', 'yang', 'sedang', 'dihadapi', 'thank', 'you', 'yesdok']",aplikasi membantu konsultasi terkait kesehatan dihadapi thank you yesdok,aplikasi bantu konsultasi kait sehat hadap thank you yesdok
Dr nya ramah dan pelayanannya cepat,Positif,Dr nya ramah dan pelayanannya cepat,dr nya ramah dan pelayanannya cepat,"['dr', 'nya', 'ramah', 'dan', 'pelayanannya', 'cepat']",dr nya ramah pelayanannya cepat,dr nya ramah layan cepat
"Yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert, Harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih",Positif,Yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert Harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih,yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih,"['yesdok', 'aplikasi', 'kesehatan', 'yg', 'bermanfaat', 'selain', 'dapat', 'informasi', 'kesehatan', 'jg', 'bisa', 'konsultasi', 'langsung', 'bersama', 'expert', 'harus', 'banget', 'di', 'download', 'dan', 'follow', 'account', 'sosmed', 'nya', 'karena', 'sering', 'ada', 'live', 'sharing', 'session', 'yg', 'informatif', 'dan', 'edukatif', 'terimakasih']",yesdok aplikasi kesehatan yg bermanfaat informasi kesehatan jg konsultasi langsung expert banget download follow account sosmed nya live sharing session yg informatif edukatif terimakasih,yesdok aplikasi sehat yg manfaat informasi sehat jg konsultasi langsung expert banget download follow account sosmed nya live sharing session yg informatif edukatif terimakasih
aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokterâœ¨ðŸ¥° keren bgt!,Positif,aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren bgt,aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren bgt,"['aplikasi', 'yg', 'bermanfaat', 'n', 'wajib', 'dimiliki', 'karna', 'informatif', 'n', 'memudahkan', 'dlm', 'mengatur', 'jadwal', 'konsul', 'dokter', 'keren', 'bgt']",aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren bgt,aplikasi yg manfaat n wajib milik karna informatif n mudah dlm atur jadwal konsul dokter keren bgt
Respon nyasigap dan bagus,Positif,Respon nyasigap dan bagus,respon nyasigap dan bagus,"['respon', 'nyasigap', 'dan', 'bagus']",respon nyasigap bagus,respon nyasigap bagus
gig,Positif,gig,gig,['gig'],gig,gig
"MasyaAllah keren bgt iniii...knp br tau skrg? ðŸ˜­ App nya User friendly, dokternya ramah bgt, diagnosanya jelas, tdk membingungkan. Baru nyoba ud langsung punya dokter Favorit dong, yeeeeeay! ðŸ¥³ Bisa konsultasi Vcol gratisan jg lg ðŸ‘ðŸ¤© Terima ksh YesDok, terima ksh jg dokter2ku, semoga makin berkah dan sehat selalu.. Aamiin ðŸ™ðŸ¥°",Positif,MasyaAllah keren bgt iniii knp br tau skrg App nya User friendly dokternya ramah bgt diagnosanya jelas tdk membingungkan Baru nyoba ud langsung punya dokter Favorit dong yeeeeeay Bisa konsultasi Vcol gratisan jg lg Terima ksh YesDok terima ksh jg dokter ku semoga makin berkah dan sehat selalu Aamiin,masyaallah keren bgt iniii knp br tau skrg app nya user friendly dokternya ramah bgt diagnosanya jelas tdk membingungkan baru nyoba ud langsung punya dokter favorit dong yeeeeeay bisa konsultasi vcol gratisan jg lg terima ksh yesdok terima ksh jg dokter ku semoga makin berkah dan sehat selalu aamiin,"['masyaallah', 'keren', 'bgt', 'iniii', 'knp', 'br', 'tau', 'skrg', 'app', 'nya', 'user', 'friendly', 'dokternya', 'ramah', 'bgt', 'diagnosanya', 'jelas', 'tdk', 'membingungkan', 'baru', 'nyoba', 'ud', 'langsung', 'punya', 'dokter', 'favorit', 'dong', 'yeeeeeay', 'bisa', 'konsultasi', 'vcol', 'gratisan', 'jg', 'lg', 'terima', 'ksh', 'yesdok', 'terima', 'ksh', 'jg', 'dokter', 'ku', 'semoga', 'makin', 'berkah', 'dan', 'sehat', 'selalu', 'aamiin']",masyaallah keren bgt iniii knp br tau skrg app nya user friendly dokternya ramah bgt diagnosanya tdk membingungkan nyoba ud langsung dokter favorit yeeeeeay konsultasi vcol gratisan jg lg terima ksh yesdok terima ksh jg dokter ku semoga berkah sehat aamiin,masyaallah keren bgt iniii knp br tau skrg app nya user friendly dokter ramah bgt diagnosanya tdk bingung nyoba ud langsung dokter favorit yeeeeeay konsultasi vcol gratis jg lg terima ksh yesdok terima ksh jg dokter ku moga berkah sehat aamiin
"YesDok aplikasi sangat membantu, 24 jam melayani konsultasi online bisa via telepon, chat ataupun video call Keren banget. Terimakasih YesDok sudah sangat membantu.",Positif,YesDok aplikasi sangat membantu jam melayani konsultasi online bisa via telepon chat ataupun video call Keren banget Terimakasih YesDok sudah sangat membantu,yesdok aplikasi sangat membantu jam melayani konsultasi online bisa via telepon chat ataupun video call keren banget terimakasih yesdok sudah sangat membantu,"['yesdok', 'aplikasi', 'sangat', 'membantu', 'jam', 'melayani', 'konsultasi', 'online', 'bisa', 'via', 'telepon', 'chat', 'ataupun', 'video', 'call', 'keren', 'banget', 'terimakasih', 'yesdok', 'sudah', 'sangat', 'membantu']",yesdok aplikasi membantu jam melayani konsultasi online via telepon chat video call keren banget terimakasih yesdok membantu,yesdok aplikasi bantu jam layan konsultasi online via telepon chat video call keren banget terimakasih yesdok bantu
Sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan.. Trima kasih yesdok,Positif,Sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan Trima kasih yesdok,sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan trima kasih yesdok,"['sekarang', 'lebih', 'mudah', 'dan', 'gampang', 'menerima', 'informasi', 'dan', 'konsultasi', 'kesehatan', 'trima', 'kasih', 'yesdok']",mudah gampang menerima informasi konsultasi kesehatan trima kasih yesdok,mudah gampang terima informasi konsultasi sehat trima kasih yesdok
tq aplikasi yesdok makasih atas konsultasinya,Positif,tq aplikasi yesdok makasih atas konsultasinya,tq aplikasi yesdok makasih atas konsultasinya,"['tq', 'aplikasi', 'yesdok', 'makasih', 'atas', 'konsultasinya']",tq aplikasi yesdok makasih konsultasinya,tq aplikasi yesdok makasih konsultasi
yes dok..aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan..,Positif,yes dok aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan,yes dok aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan,"['yes', 'dok', 'aplikasi', 'yang', 'sangat', 'bermanfaat', 'untuk', 'konsultasi', 'tentang', 'kesehatan']",yes dok aplikasi bermanfaat konsultasi kesehatan,yes dok aplikasi manfaat konsultasi sehat
"membantu bangett, bisa konsultasi privat dan mendapatkan solusi",Positif,membantu bangett bisa konsultasi privat dan mendapatkan solusi,membantu bangett bisa konsultasi privat dan mendapatkan solusi,"['membantu', 'bangett', 'bisa', 'konsultasi', 'privat', 'dan', 'mendapatkan', 'solusi']",membantu bangett konsultasi privat solusi,bantu bangett konsultasi privat solusi
"bagus sekali saya sangat suka baik aplikasi nya maupun dokternya, sangat ramah dan baik",Positif,bagus sekali saya sangat suka baik aplikasi nya maupun dokternya sangat ramah dan baik,bagus sekali saya sangat suka baik aplikasi nya maupun dokternya sangat ramah dan baik,"['bagus', 'sekali', 'saya', 'sangat', 'suka', 'baik', 'aplikasi', 'nya', 'maupun', 'dokternya', 'sangat', 'ramah', 'dan', 'baik']",bagus suka aplikasi nya dokternya ramah,bagus suka aplikasi nya dokter ramah
Aplikasi bagus ckp membantu,Positif,Aplikasi bagus ckp membantu,aplikasi bagus ckp membantu,"['aplikasi', 'bagus', 'ckp', 'membantu']",aplikasi bagus ckp membantu,aplikasi bagus ckp bantu
Buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus.  saran nih lebih banyakin metode pembayaran kayak shopee ,Positif,Buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus saran nih lebih banyakin metode pembayaran kayak shopee,buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus saran nih lebih banyakin metode pembayaran kayak shopee,"['buat', 'konsul', 'dgn', 'dokter', 'recommended', 'bgt', 'nih', 'resep', 'juga', 'bisa', 'ditebus', 'saran', 'nih', 'lebih', 'banyakin', 'metode', 'pembayaran', 'kayak', 'shopee']",konsul dgn dokter recommended bgt nih resep ditebus saran nih banyakin metode pembayaran kayak shopee,konsul dgn dokter recommended bgt nih resep tebus saran nih banyakin metode bayar kayak shopee
"Pilihan menu nya lengkap n mudah dimengerti, event di sosmed nya menarik dan informative. Recommended bgt utk dimiliki ðŸ‘ðŸ’–",Positif,Pilihan menu nya lengkap n mudah dimengerti event di sosmed nya menarik dan informative Recommended bgt utk dimiliki,pilihan menu nya lengkap n mudah dimengerti event di sosmed nya menarik dan informative recommended bgt utk dimiliki,"['pilihan', 'menu', 'nya', 'lengkap', 'n', 'mudah', 'dimengerti', 'event', 'di', 'sosmed', 'nya', 'menarik', 'dan', 'informative', 'recommended', 'bgt', 'utk', 'dimiliki']",pilihan menu nya lengkap n mudah dimengerti event sosmed nya menarik informative recommended bgt utk dimiliki,pilih menu nya lengkap n mudah erti event sosmed nya tarik informative recommended bgt utk milik
"Aplikasinya sangat membantu, tadi saya baru saja ikut live di ig banyak edukasii yanh didapat, host nya jg cakep â˜ºï¸",Positif,Aplikasinya sangat membantu tadi saya baru saja ikut live di ig banyak edukasii yanh didapat host nya jg cakep,aplikasinya sangat membantu tadi saya baru saja ikut live di ig banyak edukasii yanh didapat host nya jg cakep,"['aplikasinya', 'sangat', 'membantu', 'tadi', 'saya', 'baru', 'saja', 'ikut', 'live', 'di', 'ig', 'banyak', 'edukasii', 'yanh', 'didapat', 'host', 'nya', 'jg', 'cakep']",aplikasinya membantu live ig edukasii yanh host nya jg cakep,aplikasi bantu live ig edukasi yanh host nya jg cakep
Alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya. Coba deh pake aplikasi ini biar makin tahu soal penyakit juga.,Positif,Alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya Coba deh pake aplikasi ini biar makin tahu soal penyakit juga,alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya coba deh pake aplikasi ini biar makin tahu soal penyakit juga,"['alhamdulillah', 'ada', 'aplikasi', 'ini', 'memudahkan', 'saya', 'untuk', 'bertanya', 'seputar', 'kesehatan', 'langsung', 'pada', 'dokternya', 'coba', 'deh', 'pake', 'aplikasi', 'ini', 'biar', 'makin', 'tahu', 'soal', 'penyakit', 'juga']",alhamdulillah aplikasi memudahkan seputar kesehatan langsung dokternya coba deh pake aplikasi biar penyakit,alhamdulillah aplikasi mudah putar sehat langsung dokter coba deh pake aplikasi biar sakit
